,team_name,length,width,target,goal,length_translated,width_translated,matchdate,opponent_team_name
0,Washington Huskies,434.6403,147.47281,off_target,False,15.36837570012925,37.49999999999999,2024-09-21,Northwestern Wildcats
1,Washington Huskies,430.34154533000003,152.61111882,off_target,False,16.66567654372973,35.96245061465562,2024-09-21,Northwestern Wildcats
2,Washington Huskies,430.34154533000003,152.61111882,off_target,False,16.66567654372973,35.96245061465562,2024-09-21,Northwestern Wildcats
3,Washington Huskies,395.33912319,177.67951927,off_target,False,27.22889199940085,28.461168567644677,2024-09-21,Northwestern Wildcats
4,Washington Huskies,395.33912319,177.67951927,off_target,False,27.22889199940085,28.461168567644677,2024-09-21,Northwestern Wildcats
5,Washington Huskies,407.00380752,217.78511143999998,off_target,False,23.708662076244437,16.460268903958152,2024-09-21,Northwestern Wildcats
6,Washington Huskies,407.00380751999995,217.78511143999998,off_target,False,23.708662076244458,16.460268903958152,2024-09-21,Northwestern Wildcats
7,Washington Huskies,391.442022,130.04312720000001,off_target,False,28.40497973863987,42.715528885997806,2024-09-21,Northwestern Wildcats
8,Washington Huskies,391.44202199999995,130.04312720000001,off_target,False,28.404979738639888,42.715528885997806,2024-09-21,Northwestern Wildcats
9,Washington Huskies,438.11602368,117.51304291999999,off_target,False,14.319453486993005,46.46493828467759,2024-09-21,Northwestern Wildcats
10,Washington Huskies,438.11602368,117.51304291999999,off_target,False,14.319453486993005,46.46493828467759,2024-09-21,Northwestern Wildcats
11,Washington Huskies,438.11602368,117.51304292,off_target,False,14.319453486993005,46.46493828467758,2024-09-21,Northwestern Wildcats
12,Washington Huskies,407.02313672,192.7375412,off_target,False,23.70282880838174,23.955317873568724,2024-09-21,Northwestern Wildcats
13,Washington Huskies,407.02313672,192.7375412,off_target,False,23.70282880838174,23.955317873568724,2024-09-21,Northwestern Wildcats
14,Washington Huskies,407.02313672,192.7375412,off_target,False,23.70282880838174,23.955317873568724,2024-09-21,Northwestern Wildcats
15,Washington Huskies,438.12853743999995,172.67329488000001,off_target,False,14.315677018538587,29.959193988728735,2024-09-21,Northwestern Wildcats
16,Washington Huskies,438.12853743999995,172.67329488000001,off_target,False,14.315677018538587,29.959193988728735,2024-09-21,Northwestern Wildcats
17,Washington Huskies,438.12853744,172.67329488000001,off_target,False,14.315677018538572,29.959193988728735,2024-09-21,Northwestern Wildcats
18,Washington Huskies,449.80171314000006,195.24002774,off_target,False,10.792884524984437,23.206492379384137,2024-09-21,Northwestern Wildcats
19,Washington Huskies,449.80171314000006,195.24002774,off_target,False,10.792884524984437,23.206492379384137,2024-09-21,Northwestern Wildcats
20,Washington Huskies,449.80171314,195.24002774,off_target,False,10.792884524984451,23.206492379384137,2024-09-21,Northwestern Wildcats
21,Washington Huskies,395.34189667000004,145.10939159000003,off_target,True,27.228055003987073,38.20721177938211,2024-09-21,Northwestern Wildcats
22,Washington Huskies,395.34189667000004,145.10939159000003,off_target,True,27.228055003987073,38.20721177938211,2024-09-21,Northwestern Wildcats
23,Washington Huskies,395.34189667000004,145.10939159000003,off_target,True,27.228055003987073,38.20721177938211,2024-09-21,Northwestern Wildcats
24,Washington Huskies,461.45643068,187.68048332000004,off_target,True,7.275662432250471,25.468554330820986,2024-09-21,Northwestern Wildcats
25,Washington Huskies,461.45643068,187.68048332000004,off_target,True,7.275662432250471,25.468554330820986,2024-09-21,Northwestern Wildcats
26,Washington Huskies,461.45643068000004,187.68048332000004,off_target,True,7.275662432250456,25.468554330820986,2024-09-21,Northwestern Wildcats
0,Northwestern Wildcats,434.6403,147.47281,off_target,False,15.36837570012925,37.49999999999999,2024-09-21,Washington Huskies
1,Northwestern Wildcats,465.34342828,132.55612738000002,off_target,False,6.102623807658965,41.96355736823113,2024-09-21,Washington Huskies
2,Northwestern Wildcats,465.34342828,132.55612738000002,off_target,False,6.102623807658965,41.96355736823113,2024-09-21,Washington Huskies
3,Northwestern Wildcats,465.34342828,132.55612738000002,off_target,False,6.102623807658965,41.96355736823113,2024-09-21,Washington Huskies
4,Northwestern Wildcats,372.01168534,185.20892108,off_target,False,34.26876915569434,26.208126267050467,2024-09-21,Washington Huskies
5,Northwestern Wildcats,372.01168534,185.20892108000004,off_target,False,34.26876915569434,26.208126267050453,2024-09-21,Washington Huskies
6,Northwestern Wildcats,391.4571254,152.61840888,off_target,False,28.400421754975913,35.96026919122142,2024-09-21,Washington Huskies
