,team_name,length,width,target,length_translated,width_translated,matchdate,opp_backline_num,backline_num,opponent_team_name
0,Washington Huskies,628.0,297.7,on_target,-43.0,-7.5,2024-09-21,4,4,Northwestern Wildcats
1,Washington Huskies,757.6,332.3,off_target,-82.1,-17.8,2024-09-21,4,4,Northwestern Wildcats
2,Washington Huskies,628.0,434.2,on_target,-43.0,-48.3,2024-09-21,4,4,Northwestern Wildcats
3,Washington Huskies,628.0,153.0,on_target,-43.0,35.8,2024-09-21,4,4,Northwestern Wildcats
4,Washington Huskies,674.6,434.2,on_target,-57.0,-48.3,2024-09-21,4,4,Northwestern Wildcats
5,Washington Huskies,757.7,250.2,off_target,-82.1,6.8,2024-09-21,4,4,Northwestern Wildcats
6,Washington Huskies,714.7,434.2,on_target,-69.1,-48.3,2024-09-21,4,4,Northwestern Wildcats
7,Washington Huskies,757.6,349.6,off_target,-82.1,-23.0,2024-09-21,4,4,Northwestern Wildcats
8,Washington Huskies,674.5,297.7,on_target,-57.0,-7.4,2024-09-21,4,4,Northwestern Wildcats
9,Washington Huskies,614.4,537.9,off_target,-38.9,-79.3,2024-09-21,4,4,Northwestern Wildcats
10,Washington Huskies,757.6,434.2,off_target,-82.1,-48.3,2024-09-21,4,4,Northwestern Wildcats
11,Northwestern Wildcats,743.3,153.0,off_target,-77.8,35.8,2024-09-21,4,4,Washington Huskies
12,Northwestern Wildcats,757.7,163.8,off_target,-82.1,32.6,2024-09-21,4,4,Washington Huskies
13,Northwestern Wildcats,618.7,146.5,on_target,-40.2,37.8,2024-09-21,4,4,Washington Huskies
14,Northwestern Wildcats,757.7,112.0,off_target,-82.1,48.1,2024-09-21,4,4,Washington Huskies
15,Northwestern Wildcats,628.0,434.2,on_target,-43.0,-48.3,2024-09-21,4,4,Washington Huskies
16,Northwestern Wildcats,757.7,133.6,off_target,-82.1,41.7,2024-09-21,4,4,Washington Huskies
17,Northwestern Wildcats,628.0,60.1,off_target,-43.0,63.6,2024-09-21,4,4,Washington Huskies
18,Northwestern Wildcats,757.7,159.5,off_target,-82.1,33.9,2024-09-21,4,4,Washington Huskies
19,Northwestern Wildcats,631.6,107.6,on_target,-44.1,49.4,2024-09-21,4,4,Washington Huskies
20,Northwestern Wildcats,633.0,241.6,on_target,-44.5,9.3,2024-11-03,4,4,Penn State Nittany Lion
21,Northwestern Wildcats,674.6,153.0,on_target,-57.0,35.9,2024-11-03,4,4,Penn State Nittany Lion
22,Northwestern Wildcats,674.6,434.2,on_target,-57.0,-48.3,2024-11-03,4,4,Penn State Nittany Lion
23,Northwestern Wildcats,723.3,254.5,on_target,-71.7,5.5,2024-11-03,4,4,Penn State Nittany Lion
24,Northwestern Wildcats,743.4,434.2,off_target,-77.8,-48.3,2024-11-03,4,4,Penn State Nittany Lion
25,Northwestern Wildcats,723.2,293.4,on_target,-71.7,-6.2,2024-11-03,4,4,Penn State Nittany Lion
26,Northwestern Wildcats,757.6,153.0,off_target,-82.1,35.8,2024-11-03,4,4,Penn State Nittany Lion
27,Northwestern Wildcats,615.8,129.2,on_target,-39.3,43.0,2024-11-03,4,4,Penn State Nittany Lion
28,Northwestern Wildcats,615.8,340.9,on_target,-39.3,-20.4,2024-11-03,4,4,Penn State Nittany Lion
29,Northwestern Wildcats,628.0,434.1,on_target,-43.0,-48.3,2024-11-03,4,4,Penn State Nittany Lion
30,Northwestern Wildcats,628.0,60.1,off_target,-43.0,63.6,2024-11-03,4,4,Penn State Nittany Lion
31,Northwestern Wildcats,638.8,103.3,on_target,-46.2,50.7,2024-11-03,4,4,Penn State Nittany Lion
32,Northwestern Wildcats,623.0,537.9,off_target,-41.5,-79.3,2024-11-03,4,4,Penn State Nittany Lion
33,Penn State Nittany Lion,757.7,153.0,off_target,-82.1,35.8,2024-11-03,4,4,Northwestern Wildcats
34,Penn State Nittany Lion,628.0,153.0,on_target,-43.0,35.8,2024-11-03,4,4,Northwestern Wildcats
35,Penn State Nittany Lion,674.6,153.0,on_target,-57.0,35.8,2024-11-03,4,4,Northwestern Wildcats
36,Penn State Nittany Lion,714.7,297.7,on_target,-69.1,-7.5,2024-11-03,4,4,Northwestern Wildcats
37,Penn State Nittany Lion,757.7,434.2,off_target,-82.1,-48.3,2024-11-03,4,4,Northwestern Wildcats
38,Penn State Nittany Lion,757.6,297.7,off_target,-82.1,-7.5,2024-11-03,4,4,Northwestern Wildcats
39,Penn State Nittany Lion,628.0,60.1,off_target,-43.0,63.6,2024-11-03,4,4,Northwestern Wildcats
40,Rutgers Scarlet Knights,628.0,434.1,on_target,-43.0,-48.3,2024-10-12,4,4,Northwestern Wildcats
41,Rutgers Scarlet Knights,757.7,434.2,off_target,-82.1,-48.3,2024-10-12,4,4,Northwestern Wildcats
42,Rutgers Scarlet Knights,628.0,86.0,on_target,-43.0,55.9,2024-10-12,4,4,Northwestern Wildcats
43,Rutgers Scarlet Knights,674.6,527.1,off_target,-57.0,-76.1,2024-10-12,4,4,Northwestern Wildcats
44,Rutgers Scarlet Knights,628.0,60.1,off_target,-43.0,63.6,2024-10-12,4,4,Northwestern Wildcats
45,Rutgers Scarlet Knights,628.0,297.7,on_target,-43.0,-7.5,2024-10-12,4,4,Northwestern Wildcats
46,Rutgers Scarlet Knights,674.6,297.7,on_target,-57.0,-7.5,2024-10-12,4,4,Northwestern Wildcats
47,Rutgers Scarlet Knights,674.6,509.8,on_target,-57.0,-70.9,2024-10-12,4,4,Northwestern Wildcats
48,Northwestern Wildcats,627.3,537.9,off_target,-42.8,-79.3,2024-10-12,4,4,Rutgers Scarlet Knights
49,Northwestern Wildcats,628.0,86.0,on_target,-43.0,55.9,2024-10-12,4,4,Rutgers Scarlet Knights
50,Northwestern Wildcats,757.7,297.7,off_target,-82.1,-7.5,2024-10-12,4,4,Rutgers Scarlet Knights
51,Northwestern Wildcats,757.7,153.0,off_target,-82.1,35.8,2024-10-12,4,4,Rutgers Scarlet Knights
52,Northwestern Wildcats,628.0,153.0,on_target,-43.0,35.8,2024-10-12,4,4,Rutgers Scarlet Knights
53,Northwestern Wildcats,674.5,153.0,on_target,-57.0,35.8,2024-10-12,4,4,Rutgers Scarlet Knights
54,Northwestern Wildcats,628.0,297.7,on_target,-43.0,-7.4,2024-10-12,4,4,Rutgers Scarlet Knights
55,Northwestern Wildcats,757.6,434.2,off_target,-82.1,-48.3,2024-10-12,4,4,Rutgers Scarlet Knights
56,Northwestern Wildcats,667.4,168.1,on_target,-54.9,31.3,2024-10-19,5,4,Michigan Wolverines
